"Name","Location","Type"
"lock","External[ ? ]","External Function"
"unlock","External[ ? ]","External Function"
"GraphicBuffer","External[ ? ]","External Function"
"String8","External[ ? ]","External Function"
"readString16","External[ ? ]","External Function"
"readFileDescriptor","External[ ? ]","External Function"
"GetFileSize","External[ ? ]","External Function"
"OpenFile","External[ ? ]","External Function"
"ReadFile","External[ ? ]","External Function"
"CloseFile","External[ ? ]","External Function"
"format","External[ ? ]","External Function"
"clear","External[ ? ]","External Function"
"String8","External[ ? ]","External Function"
"GraphicBuffer","External[ ? ]","External Function"
"createDisplay","External[ ? ]","External Function"
"setDisplaySize","External[ ? ]","External Function"
"getDisplaySurface","External[ ? ]","External Function"
"ChangeThreadPriority","External[ ? ]","External Function"
"~IMemoryHeap","External[ ? ]","External Function"
"~IMemoryHeap","External[ ? ]","External Function"
"onTransact","External[ ? ]","External Function"
"BnMemoryHeap","External[ ? ]","External Function"
"~BnMemoryHeap","External[ ? ]","External Function"
"~BnMemoryHeap","External[ ? ]","External Function"
"~BnMemoryHeap","External[ ? ]","External Function"
"getInterfaceDescriptor","External[ ? ]","External Function"
"onTransact","External[ ? ]","External Function"
"~BnMemoryHeap","External[ ? ]","External Function"
"~BnMemoryHeap","External[ ? ]","External Function"
"~IMemoryHeap","External[ ? ]","External Function"
"~IMemoryHeap","External[ ? ]","External Function"
"~BnMemoryHeap","External[ ? ]","External Function"
"~BnMemoryHeap","External[ ? ]","External Function"
"createBufferQueue","External[ ? ]","External Function"
"ProxyConsumerListener","External[ ? ]","External Function"
"GetInlineContext","External[ ? ]","External Function"
"SendSyncRequest","External[ ? ]","External Function"
"ConnectToHipcService","External[ ? ]","External Function"
"GetMessageBufferOnTls","External[ ? ]","External Function"
"CloseClientSessionHandle","External[ ? ]","External Function"
"FinalizeHipcServiceResolution","External[ ? ]","External Function"
"InitializeHipcServiceResolution","External[ ? ]","External Function"
"SetupHeader","External[ ? ]","External Function"
"SetTag","External[ ? ]","External Function"
"ReleaseImpl","External[ ? ]","External Function"
"AddReferenceImpl","External[ ? ]","External Function"
"CreateExpHeap","External[ ? ]","External Function"
"FreeToExpHeap","External[ ? ]","External Function"
"AllocateFromExpHeap","External[ ? ]","External Function"
"Reset","00000000","Label"
"_init","7100000030","Function"
"_fini","7100000170","Function"
"FUN_71000001c0","71000001c0","Function"
"__nnDetailNintendoSdkRuntimeObjectFileRefer","71000001e0","Thunk Function"
"nndetailRoGetRoDataStart","71000001f0","Function"
"nndetailRoGetRoDataEnd","7100000200","Function"
"~SharedPointer","7100000210","Function"
"_ZN2nn2sf13SharedPointerINS_4mmnv8IRequestEED2Ev","7100000210","Function"
"Initialize","7100000230","Function"
"_ZN2nn4mmnv7Request10InitializeENS0_6ModuleEjNS_2os14EventClearModeE","7100000230","Function"
"Initialize","7100000350","Function"
"_ZN2nn4mmnv7Request10InitializeENS0_6ModuleEj","7100000350","Function"
"Finalize","7100000370","Function"
"_ZN2nn4mmnv7Request8FinalizeEv","7100000370","Function"
"SetAndWait","7100000400","Function"
"_ZN2nn4mmnv7Request10SetAndWaitEjj","7100000400","Function"
"Get","7100000440","Function"
"_ZN2nn4mmnv7Request3GetEPj","7100000440","Function"
"Request","7100000470","Function"
"_ZN2nn4mmnv7RequestC1Ev","7100000470","Function"
"_ZN2nn4mmnv7RequestC2Ev","7100000470","Function"
"~Request","7100000480","Function"
"_ZN2nn4mmnv7RequestD2Ev","7100000480","Function"
"_ZN2nn4mmnv7RequestD1Ev","7100000480","Function"
"FunctionForBoolType","7100000560","Function"
"_ZNK2nn2sf13SharedPointerINS_4mmnv8IRequestEE19FunctionForBoolTypeEv","7100000560","Function"
"FUN_7100000570","7100000570","Function"
"CreateRequestByHipc","7100000590","Function"
"_ZN2nn4mmnv19CreateRequestByHipcEv","7100000590","Function"
"GetInterfaceTypeInfo","7100000740","Function"
"_ZN2nn2sf14IServiceObject20GetInterfaceTypeInfoEv","7100000740","Function"
"FUN_7100000750","7100000750","Function"
"FUN_7100000780","7100000780","Function"
"FUN_71000007b0","71000007b0","Function"
"FUN_71000007e0","71000007e0","Function"
"FUN_7100000810","7100000810","Function"
"FUN_7100000840","7100000840","Function"
"FUN_7100000870","7100000870","Function"
"FUN_71000008a0","71000008a0","Function"
"Process","71000008f0","Function"
"_ZN2nn2sf4hipc6client24Hipc2ClientCoreProcessorILNS1_6detail11MessageTypeE6ENS0_4cmif6detail14CoreMethodInfoINSt3__15tupleIJNS7_17InRawArgumentInfoILm4ELm4ELl0EEENSB_ILm4ELm4ELl4EEENSB_ILm4ELm4ELl8EEEEEELm12ELm0ELb0EEESF_E7ProcessEPNS2_26Hipc2ClientProxyBaseObjectENS6_6client23InRawClientArgumentTypeILm4ELm4EvEESM_SM_j","71000008f0","Function"
"Initialize","7100000a00","Function"
